Nr.,Best.-Nr.   ,RoHS-konform?,Ihre Bestellnummer,Hinweise,Menge,Hersteller-Teilenr.,Herstellername,Hersteller / Beschreibung,Verfügbarkeit,Stückpreis (&euro;),Positionspreis (&euro;),Rabattpreis (&euro;)
1,2447451,RoHS: Y-EX / PHTHALATE: YES,,,40.0,"MCWR06X9101FTL",MULTICOMP PRO,"MULTICOMP PRO  Chipwiderstand, Oberflächenmontage, 9.1 kohm, ± 1%, 100 mW, 0603 [Metrisch 1608]",9,0.0054,0.22,,
2,2447272,RoHS: Y-EX / PHTHALATE: YES,,,20.0,"MCWR06X1001FTL",MULTICOMP PRO,"MULTICOMP PRO  Chipwiderstand, Oberflächenmontage, 1 kohm, ± 1%, 100 mW, 0603 [Metrisch 1608]",279827,0.0048,0.10,,
3,2447404,RoHS: Y-EX / PHTHALATE: YES,,,30.0,"MCWR06X5101FTL",MULTICOMP PRO,"MULTICOMP PRO  Chipwiderstand, Oberflächenmontage, 5.1 kohm, ± 1%, 100 mW, 0603 [Metrisch 1608]",47960,0.0051,0.15,,
4,3951667,RoHS: Y-EX / PHTHALATE: YES,,,30.0,"RT0603BRC07500RL",YAGEO,"YAGEO  Chipwiderstand, Oberflächenmontage, 500 ohm, ± 0.1%, 100 mW, 0603 [Metrisch 1608]",2852,0.1980,5.94,,
5,2447335,RoHS: Y-EX / PHTHALATE: YES,,,30.0,"MCWR06X30R0FTL",MULTICOMP PRO,"MULTICOMP PRO  Chipwiderstand, Oberflächenmontage, 30 ohm, ± 1%, 100 mW, 0603 [Metrisch 1608]",8942,0.0051,0.15,,
6,2694689,RoHS: YES / PHTHALATE: YES,,,80.0,"MCWR06X103 JTL",MULTICOMP PRO,"MULTICOMP PRO  Chipwiderstand, Oberflächenmontage, 10 kohm, ± 5%, 100 mW, 0603 [Metrisch 1608]",7033,0.0048,0.38,,
7,2447227,RoHS: Y-EX / PHTHALATE: YES,,,10.0,"MCWR06X1000FTL",MULTICOMP PRO,"MULTICOMP PRO  Chipwiderstand, Oberflächenmontage, 100 ohm, ± 1%, 100 mW, 0603 [Metrisch 1608]",165280,0.0049,0.05,,
8,2694690,RoHS: YES / PHTHALATE: YES,,,10.0,"MCWR06X104 JTL",MULTICOMP PRO,"MULTICOMP PRO  Chipwiderstand, Oberflächenmontage, 100 kohm, ± 5%, 100 mW, 0603 [Metrisch 1608]",4610,0.0049,0.05,,
9,2670906,RoHS: YES / PHTHALATE: YES,,,10.0,"WR06X824 JTL",MULTICOMP PRO,"MULTICOMP PRO  Chipwiderstand, Oberflächenmontage, 820 kohm, ± 5%, 100 mW, 0603 [Metrisch 1608]",680 Verfügbar, bis der Lagerbestand erschöpft ist.,0.0035,0.04,,
10,2694815,RoHS: YES / PHTHALATE: YES,,,10.0,"MCWR06X2R2 JTL",MULTICOMP PRO,"MULTICOMP PRO  Chipwiderstand, Oberflächenmontage, 2.2 ohm, ± 5%, 100 mW, 0603 [Metrisch 1608]",3730 Verfügbar, bis der Lagerbestand erschöpft ist.,0.0051,0.05,,
11,2694851,RoHS: YES / PHTHALATE: YES,,,10.0,"MCWR06X3922FTL",MULTICOMP PRO,"MULTICOMP PRO  Chipwiderstand, Oberflächenmontage, 39.2 kohm, ± 1%, 100 mW, 0603 [Metrisch 1608]",1196,0.0053,0.05,,
12,2670720,RoHS: YES / PHTHALATE: YES,,,10.0,"WR06X2552FTL",MULTICOMP PRO,"MULTICOMP PRO  Chipwiderstand, Oberflächenmontage, 25.5 kohm, ± 1%, 100 mW, 0603 [Metrisch 1608]",3652,0.0051,0.05,,
