Nr.,Best.-Nr.   ,RoHS-konform?,Ihre Bestellnummer,Hinweise,Menge,Hersteller-Teilenr.,Herstellername,Hersteller / Beschreibung,Verfügbarkeit,Stückpreis (&euro;),Positionspreis (&euro;),Rabattpreis (&euro;)
1,2447451,RoHS: Y-EX / PHTHALATE: YES,,,10.0,"MCWR06X9101FTL",MULTICOMP PRO,"MULTICOMP PRO  Chipwiderstand, Oberflächenmontage, 9.1 kohm, ± 1%, 100 mW, 0603 [Metrisch 1608]",7189,0.0054,0.05,,
2,2447272,RoHS: Y-EX / PHTHALATE: YES,,,40.0,"MCWR06X1001FTL",MULTICOMP PRO,"MULTICOMP PRO  Chipwiderstand, Oberflächenmontage, 1 kohm, ± 1%, 100 mW, 0603 [Metrisch 1608]",402564,0.0048,0.19,,
3,2447404,RoHS: Y-EX / PHTHALATE: YES,,,10.0,"MCWR06X5101FTL",MULTICOMP PRO,"MULTICOMP PRO  Chipwiderstand, Oberflächenmontage, 5.1 kohm, ± 1%, 100 mW, 0603 [Metrisch 1608]",35660,0.0051,0.05,,
4,2447335,RoHS: Y-EX / PHTHALATE: YES,,,30.0,"MCWR06X30R0FTL",MULTICOMP PRO,"MULTICOMP PRO  Chipwiderstand, Oberflächenmontage, 30 ohm, ± 1%, 100 mW, 0603 [Metrisch 1608]",6942,0.0051,0.15,,
5,2694689,RoHS: YES / PHTHALATE: YES,,,90.0,"MCWR06X103 JTL",MULTICOMP PRO,"MULTICOMP PRO  Chipwiderstand, Oberflächenmontage, 10 kohm, ± 5%, 100 mW, 0603 [Metrisch 1608]",33083,0.0048,0.43,,
6,2447227,RoHS: Y-EX / PHTHALATE: YES,,,20.0,"MCWR06X1000FTL",MULTICOMP PRO,"MULTICOMP PRO  Chipwiderstand, Oberflächenmontage, 100 ohm, ± 1%, 100 mW, 0603 [Metrisch 1608]",163509,0.0049,0.10,,
7,2694690,RoHS: YES / PHTHALATE: YES,,,20.0,"MCWR06X104 JTL",MULTICOMP PRO,"MULTICOMP PRO  Chipwiderstand, Oberflächenmontage, 100 kohm, ± 5%, 100 mW, 0603 [Metrisch 1608]",3910,0.0049,0.10,,
8,2670906,RoHS: YES / PHTHALATE: YES,,,10.0,"WR06X824 JTL",MULTICOMP PRO,"MULTICOMP PRO  Chipwiderstand, Oberflächenmontage, 820 kohm, ± 5%, 100 mW, 0603 [Metrisch 1608]",580 Verfügbar, bis der Lagerbestand erschöpft ist.,0.0035,0.04,,
9,2694815,RoHS: YES / PHTHALATE: YES,,,10.0,"MCWR06X2R2 JTL",MULTICOMP PRO,"MULTICOMP PRO  Chipwiderstand, Oberflächenmontage, 2.2 ohm, ± 5%, 100 mW, 0603 [Metrisch 1608]",3730 Verfügbar, bis der Lagerbestand erschöpft ist.,0.0051,0.05,,
10,2694851,RoHS: YES / PHTHALATE: YES,,,10.0,"MCWR06X3922FTL",MULTICOMP PRO,"MULTICOMP PRO  Chipwiderstand, Oberflächenmontage, 39.2 kohm, ± 1%, 100 mW, 0603 [Metrisch 1608]",1036,0.0053,0.05,,
