Ref,Val,Package,PosX,PosY,Rot,Side
"C7","100n_0603","C_0603",130.800000,-159.575000,-90.000000,bottom
"C9","100n_0603","C_0603",120.800000,-160.350000,-90.000000,bottom
"C11","1u_0603","C_0603",126.050000,-161.825000,0.000000,bottom
"C12","10u_0603","C_0603_1608Metric",130.300000,-155.825000,90.000000,bottom
"C13","10u_0603","C_0603_1608Metric",128.550000,-160.595000,90.000000,bottom
"C14","10u_0603","C_0603_1608Metric",123.050000,-160.575000,0.000000,bottom
"C15","10u_0603","C_0603_1608Metric",119.800000,-154.325000,0.000000,bottom
"C28","15p_0603","C_0603",248.050000,-199.900000,0.000000,bottom
"C30","15p_0603","C_0603",248.050000,-201.400000,0.000000,bottom
"C31","15p_0603","C_0603",243.300000,-203.900000,-90.000000,bottom
"C33","15p_0603","C_0603",241.800000,-203.900000,-90.000000,bottom
"C34","15p_0603","C_0603",240.300000,-203.900000,-90.000000,bottom
"C36","15p_0603","C_0603",238.800000,-203.900000,-90.000000,bottom
"C37","15p_0603","C_0603",248.050000,-196.900000,0.000000,bottom
"C39","15p_0603","C_0603",248.050000,-198.400000,0.000000,bottom
"C40","100n_0603","C_0603",289.205000,-203.296930,90.000000,bottom
"C41","100n_0603","C_0603",309.205000,-203.296930,90.000000,bottom
"C42","100n_0603","C_0603",329.205000,-203.296930,90.000000,bottom
"C43","15p_0603","C_0603",239.800000,-187.400000,90.000000,bottom
"C45","15p_0603","C_0603",241.300000,-187.400000,90.000000,bottom
"C55","100n_0603","C_0603",170.200000,-66.900000,180.000000,bottom
"C56","100n_0603","C_0603",187.837500,-66.900000,180.000000,bottom
"C58","1u_0603","C_0603",245.050000,-202.400000,-90.000000,bottom
"C59","1u_0603","C_0603",232.795000,-194.815012,180.000000,bottom
"C60","100n_0603","C_0603",237.300000,-200.650000,180.000000,bottom
"C62","100n_0603","C_0603",236.550000,-202.150000,180.000000,bottom
"C64","100n_0603","C_0603",243.800000,-190.650000,90.000000,bottom
"C66","100n_0603","C_0603",240.550000,-190.900000,0.000000,bottom
"C67","100n_0603","C_0603",232.800000,-197.400000,180.000000,bottom
"C69","10u_0603","C_0603_1608Metric",237.550000,-189.900000,-90.000000,bottom
"C70","10u_0603","C_0603_1608Metric",244.300000,-193.900000,-90.000000,bottom
"C71","10u_0603","C_0603_1608Metric",244.550000,-197.400000,90.000000,bottom
"C72","10u_0603","C_0603_1608Metric",240.300000,-200.650000,180.000000,bottom
"C73","100n_0603","C_0603",269.205000,-203.296930,90.000000,bottom
"C78","15p_0603","C_0603",242.800000,-187.400000,90.000000,bottom
"C80","15p_0603","C_0603",244.300000,-187.400000,90.000000,bottom
"C83","15p_0603","C_0603",248.050000,-189.400000,0.000000,bottom
"C85","15p_0603","C_0603",248.050000,-190.900000,0.000000,bottom
"C88","15p_0603","C_0603",248.050000,-192.400000,0.000000,bottom
"C90","15p_0603","C_0603",248.075000,-193.900000,0.000000,bottom
"C93","15p_0603","C_0603",129.300000,-164.825000,-90.000000,bottom
"C95","15p_0603","C_0603",127.800000,-164.825000,-90.000000,bottom
"C97","100n_0603","C_0603",106.302579,-177.488010,-90.000000,bottom
"C98","15p_0603","C_0603",116.800000,-161.825000,180.000000,bottom
"C100","15p_0603","C_0603",116.800000,-160.325000,180.000000,bottom
"C102","100n_0603","C_0603",95.052579,-177.488010,-90.000000,bottom
"C103","15p_0603","C_0603",134.050000,-159.825000,0.000000,bottom
"C105","15p_0603","C_0603",134.050000,-161.325000,0.000000,bottom
"C107","100n_0603","C_0603",106.262579,-190.838010,-90.000000,bottom
"C108","15p_0603","C_0603",123.300000,-164.825000,-90.000000,bottom
"C110","15p_0603","C_0603",121.800000,-164.825000,-90.000000,bottom
"C112","100n_0603","C_0603",95.012579,-190.838010,-90.000000,bottom
"C113","15p_0603","C_0603",134.050000,-156.825000,0.000000,bottom
"C115","15p_0603","C_0603",134.050000,-158.325000,0.000000,bottom
"C117","100n_0603","C_0603",106.222579,-204.188010,-90.000000,bottom
"C118","15p_0603","C_0603",126.300000,-164.825000,-90.000000,bottom
"C120","15p_0603","C_0603",124.800000,-164.825000,-90.000000,bottom
"C122","100n_0603","C_0603",94.972579,-204.188010,-90.000000,bottom
"C136","100n_0603","C_0603",290.247500,-135.465012,0.000000,bottom
"C147","100n_0603","C_0603",309.497500,-135.465012,0.000000,bottom
"C152","100n_0603","C_0603",328.747500,-135.465012,0.000000,bottom
"C157","100n_0603","C_0603",270.997500,-135.465012,0.000000,bottom
"C158","15p_0603","C_0603",116.800000,-158.825000,180.000000,bottom
"C160","15p_0603","C_0603",116.800000,-157.325000,180.000000,bottom
"C162","100n_0603","C_0603",95.092579,-164.138010,-90.000000,bottom
"C165","4u7_0603","C_0603",142.962130,-97.900000,0.000000,bottom
"D1","B72590D50H160","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",150.205000,-197.812500,90.000000,bottom
"D3","B72590D50H160","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",152.705000,-197.812500,90.000000,bottom
"D4","B72590D50H160","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",155.205000,-197.812500,90.000000,bottom
"D14","B72590D50H160","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",124.955000,-197.812500,90.000000,bottom
"D15","B72590D50H160","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",127.455000,-197.812500,90.000000,bottom
"D16","B72590D50H160","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",129.955000,-197.812500,90.000000,bottom
"D17","B72590D50H160","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",132.455000,-197.812500,90.000000,bottom
"D18","B72590D50H160","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",134.955000,-197.812500,90.000000,bottom
"D19","B72590D50H160","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",137.455000,-197.812500,90.000000,bottom
"D20","B72590D50H160","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",139.955000,-197.812500,90.000000,bottom
"D21","B72590D50H160","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",142.455000,-197.812500,90.000000,bottom
"D22","B72590D50H160","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",144.955000,-197.812500,90.000000,bottom
"D23","B72590D50H160","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",147.705000,-197.812500,90.000000,bottom
"D25","D_B130LAW-7-F","DO_SOD_123",232.450000,-163.625000,0.000000,bottom
"D26","D_B130LAW-7-F","DO_SOD_123",232.450000,-161.075000,0.000000,bottom
"D27","D_B130LAW-7-F","DO_SOD_123",232.450000,-169.075000,0.000000,bottom
"D28","D_B130LAW-7-F","DO_SOD_123",232.450000,-171.625000,0.000000,bottom
"D29","D_B130LAW-7-F","DO_SOD_123",245.200000,-161.075000,0.000000,bottom
"D30","D_B130LAW-7-F","DO_SOD_123",245.200000,-163.625000,0.000000,bottom
"D31","D_B130LAW-7-F","DO_SOD_123",245.200000,-169.075000,0.000000,bottom
"D32","D_B130LAW-7-F","DO_SOD_123",245.200000,-171.625000,0.000000,bottom
"R6","1k_0603","R_0603_1608Metric",121.866199,-157.601037,0.000000,bottom
"R56","100R_0603","R_0603_1608Metric",170.200000,-70.400000,180.000000,bottom
"R57","10k_0603","R_0603_1608Metric",170.200000,-68.650000,180.000000,bottom
"R59","100R_0603","R_0603_1608Metric",187.950000,-70.400000,180.000000,bottom
"R60","10k_0603","R_0603_1608Metric",187.950000,-68.650000,180.000000,bottom
"R106","500R_0603","R_0603_1608Metric",108.800000,-177.550000,-90.000000,bottom
"R110","1k_0603","R_0603_1608Metric",121.866199,-155.851037,0.000000,bottom
"R115","500R_0603","R_0603_1608Metric",97.550000,-177.550000,-90.000000,bottom
"R117","1R_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",142.962130,-99.650000,0.000000,bottom
"R124","500R_0603","R_0603_1608Metric",108.760000,-190.900000,-90.000000,bottom
"R133","500R_0603","R_0603_1608Metric",97.510000,-190.900000,-90.000000,bottom
"R142","500R_0603","R_0603_1608Metric",108.720000,-204.250000,-90.000000,bottom
"R151","500R_0603","R_0603_1608Metric",97.470000,-204.250000,-90.000000,bottom
"R249","500R_0603","R_0603_1608Metric",97.590000,-164.200000,-90.000000,bottom
"fid1b","Fiducial_1mm_Mask3mm","Fiducial_1mm_Mask3mm",43.800000,-212.400000,180.000000,bottom
"fid2b","Fiducial_1mm_Mask3mm","Fiducial_1mm_Mask3mm",347.800000,-212.400000,180.000000,bottom
"fid3b","Fiducial_1mm_Mask3mm","Fiducial_1mm_Mask3mm",347.800000,-58.400000,180.000000,bottom
